,match_id,player_id,goal_type,created_at,updated_at
244,2020-11-06 Strasbourg,M. Sanson Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
245,2020-11-07 Bordeaux,F. Mollet Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
246,2020-11-07 Bordeaux,A. Delort Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
247,2020-11-07 Paris,M. Kean Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
248,2020-11-07 Paris,A. Di Maria Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
249,2020-11-07 Paris,D. Da Silva Paris,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
250,2020-11-08 Brest,R. Pierre-Gabriel Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
251,2020-11-08 Brest,R. Perraud Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
252,2020-11-08 Brest,I. Cardona Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
253,2020-11-08 Brest,B. Yilmaz Lille,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
254,2020-11-08 Brest,B. Yilmaz Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
255,2020-11-08 Lens,S. Banza Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
256,2020-11-08 Lens,T. Foket Lens,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
257,2020-11-08 Lens,F. Sotoca Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
258,2020-11-08 Lens,F. Sotoca Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
259,2020-11-08 Lens,M. Cafaro Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
260,2020-11-08 Lens,B. Dia Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
261,2020-11-08 Lens,F. Medina Reims,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
262,2020-11-08 Lens,B. Dia Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
263,2020-11-08 Metz,P. Yade Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
264,2020-11-08 Metz,M. Baldé Dijon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
265,2020-11-08 Nîmes,M. Koné Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
266,2020-11-08 Nîmes,M. Pereira Lage Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
267,2020-11-08 Nîmes,S. Bahoken Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
268,2020-11-08 Nîmes,S. Bahoken Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
269,2020-11-08 Nîmes,L. Diony Angers,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
270,2020-11-08 Nîmes,J. Cabot Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
271,2020-11-08 Lorient,A. Bamba Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
272,2020-11-08 Lorient,L. Blas Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
273,2020-11-08 Nice,P. Lees-Melou Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
274,2020-11-08 Nice,A. Disasi Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
275,2020-11-08 Nice,S. Diop Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
276,2020-11-08 Lyon,T. Kadewere Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
277,2020-11-08 Lyon,T. Kadewere Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
278,2020-11-08 Lyon,A. Lopes Saint-Étienne,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
279,2020-11-20 Rennes,H. Ben Arfa Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
280,2020-11-20 Monaco,K. Volland Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
281,2020-11-20 Monaco,K. Volland Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
282,2020-11-20 Monaco,F. Fabregas Monaco,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
283,2020-11-20 Monaco,K. Mbappé Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
284,2020-11-20 Monaco,K. Mbappé Paris,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
285,2020-11-21 Brest,F. Honorat Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
286,2020-11-21 Brest,J. Duverne Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
287,2020-11-21 Brest,I. Cardona Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
288,2020-11-21 Brest,S. Mounié Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
289,2020-11-21 Brest,M. Camara Saint-Étienne,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
290,2020-11-22 Nantes,R. Kolo Muani Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
291,2020-11-22 Nantes,A. Leya Iseka Metz,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
292,2020-11-22 Montpellier,P. Mendes Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
293,2020-11-22 Montpellier,A. Delort Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
294,2020-11-22 Montpellier,A. Delort Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
295,2020-11-22 Montpellier,G. Laborde Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
296,2020-11-22 Montpellier,K. Lala Strasbourg,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
297,2020-11-22 Montpellier,H. Diallo Strasbourg,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
298,2020-11-22 Montpellier,L. Ajorque Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
299,2020-11-22 Dijon,A. Kalimuendo Lens,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
300,2020-11-22 Reims,R. Ripart Nîmes,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
301,2020-11-22 Angers,T. Kadewere Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
302,2020-11-22 Lille,Y. Yazici Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
303,2020-11-22 Lille,Y. Yazici Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
304,2020-11-22 Lille,L. Araujo Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
305,2020-11-22 Lille,J. David Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
306,2021-02-17 Marseille,A. Gonzalez Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
307,2021-02-17 Marseille,S. Khaoui Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
308,2021-02-17 Marseille,S. Khaoui Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
309,2021-02-17 Marseille,A. Gouiri Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
310,2021-02-17 Marseille,M. Sellouki Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
311,2020-11-27 Strasbourg,A. Thomasson Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
312,2020-11-27 Strasbourg,A. Hunou Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
313,2020-11-28 Marseille,F. Thauvin Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
314,2020-11-28 Marseille,D. Payet Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
315,2020-11-28 Marseille,D. Benedetto Marseille,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
316,2020-11-28 Marseille,L. Blas Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
